policy,customers,contact_capacity,budget_based_contact_capacity,operations_based_contact_capacity,economically_eligible_customers,binding_constraint,customers_contacted,actual_selected_customers,contact_rate,expected_net_value,expected_net_value_per_contact,estimated_value_at_risk,average_churn_probability,average_estimated_margin_at_risk,expected_campaign_cost,remaining_budget,budget_utilization_percentage,observed_churners_contacted,observed_churners,recall_at_budget,precision_at_budget,observed_churn_rate,lift_at_budget,scenario_realized_net_value,benchmark_repetitions
random,1433,214,1433,214,718,operational_capacity,214,214,0.14933705512909978,330.3552577274394,1.543716157604857,8285.776288637197,0.44166231826052105,175.09165878387853,1326.7999999999997,10673.199999999997,11.05666666666667,77.565,517,0.1500290135396518,0.36245327102803737,0.36245327102803737,1.0046335345902855,-19.983539149999874,200
churn_probability,1433,214,1433,214,718,operational_capacity,214,214,0.14933705512909978,447.0943395484028,2.0892258857401997,8869.471697742014,0.667982528368347,61.218941588785036,1326.8,10673.2,11.056666666666667,119.0,517,0.23017408123791103,0.5560747663551402,0.5560747663551402,1.5413058804389088,179.31910000000016,1
expected_value,1433,214,1433,214,718,operational_capacity,214,214,0.14933705512909978,2884.1664685512833,13.47741340444525,21054.83234275641,0.5006035063704353,232.36742873831776,1326.8,10673.2,11.056666666666667,90.0,517,0.17408123791102514,0.4205607476635514,0.4205607476635514,1.1656935230210235,1999.3466500000004,1
